"","state","week","year","cases","date","lon","lat"
"72","Alabama",49,1946,1,1946-12-07,-86.8283850275618,32.7888808009156
"73","Alabama",50,1946,2,1946-12-14,-86.8283850275618,32.7888808009156
"74","Alabama",51,1946,0,1946-12-21,-86.8283850275618,32.7888808009156
"75","Alabama",52,1946,2,1946-12-28,-86.8283850275618,32.7888808009156
"76","Alabama",1,1947,0,1947-01-04,-86.8283850275618,32.7888808009156
"77","Alabama",2,1947,1,1947-01-11,-86.8283850275618,32.7888808009156
"78","Alabama",3,1947,0,1947-01-18,-86.8283850275618,32.7888808009156
"79","Alabama",4,1947,0,1947-01-25,-86.8283850275618,32.7888808009156
"80","Alabama",5,1947,1,1947-02-01,-86.8283850275618,32.7888808009156
"81","Alabama",26,1942,2,1942-06-27,-86.8283850275618,32.7888808009156
"82","Alabama",7,1947,2,1947-02-15,-86.8283850275618,32.7888808009156
"83","Alabama",8,1947,1,1947-02-22,-86.8283850275618,32.7888808009156
"84","Alabama",9,1947,0,1947-03-01,-86.8283850275618,32.7888808009156
"85","Alabama",10,1947,3,1947-03-08,-86.8283850275618,32.7888808009156
"86","Alabama",23,1946,17,1946-06-08,-86.8283850275618,32.7888808009156
"87","Alabama",24,1946,25,1946-06-15,-86.8283850275618,32.7888808009156
"88","Alabama",25,1946,17,1946-06-22,-86.8283850275618,32.7888808009156
"89","Alabama",14,1947,0,1947-04-05,-86.8283850275618,32.7888808009156
"90","Alabama",15,1947,0,1947-04-12,-86.8283850275618,32.7888808009156
"91","Alabama",16,1947,0,1947-04-19,-86.8283850275618,32.7888808009156
"92","Alabama",17,1947,1,1947-04-26,-86.8283850275618,32.7888808009156
"93","Alabama",18,1947,0,1947-05-03,-86.8283850275618,32.7888808009156
"94","Alabama",43,1945,4,1945-10-27,-86.8283850275618,32.7888808009156
"95","Alabama",32,1946,71,1946-08-10,-86.8283850275618,32.7888808009156
"96","Alabama",33,1946,34,1946-08-17,-86.8283850275618,32.7888808009156
"97","Alabama",34,1946,13,1946-08-24,-86.8283850275618,32.7888808009156
"98","Alabama",35,1946,37,1946-08-31,-86.8283850275618,32.7888808009156
"99","Alabama",36,1946,9,1946-09-07,-86.8283850275618,32.7888808009156
"100","Alabama",37,1946,16,1946-09-14,-86.8283850275618,32.7888808009156
"101","Alabama",38,1946,19,1946-09-21,-86.8283850275618,32.7888808009156
"102","Alabama",39,1946,8,1946-09-28,-86.8283850275618,32.7888808009156
"103","Alabama",40,1946,10,1946-10-05,-86.8283850275618,32.7888808009156
"104","Alabama",41,1946,3,1946-10-12,-86.8283850275618,32.7888808009156
"105","Alabama",42,1946,8,1946-10-19,-86.8283850275618,32.7888808009156
"106","Alabama",43,1946,3,1946-10-26,-86.8283850275618,32.7888808009156
"107","Alabama",44,1946,0,1946-11-02,-86.8283850275618,32.7888808009156
"108","Alabama",33,1947,2,1947-08-16,-86.8283850275618,32.7888808009156
"109","Alabama",34,1947,9,1947-08-23,-86.8283850275618,32.7888808009156
"110","Alabama",35,1947,1,1947-08-30,-86.8283850275618,32.7888808009156
"111","Alabama",36,1947,3,1947-09-06,-86.8283850275618,32.7888808009156
"112","Alabama",37,1947,1,1947-09-13,-86.8283850275618,32.7888808009156
"113","Alabama",38,1947,3,1947-09-20,-86.8283850275618,32.7888808009156
"114","Alabama",39,1947,3,1947-09-27,-86.8283850275618,32.7888808009156
"115","Alabama",40,1947,4,1947-10-04,-86.8283850275618,32.7888808009156
"116","Alabama",41,1947,2,1947-10-11,-86.8283850275618,32.7888808009156
"117","Alabama",42,1947,0,1947-10-18,-86.8283850275618,32.7888808009156
"118","Alabama",43,1947,3,1947-10-25,-86.8283850275618,32.7888808009156
"119","Alabama",44,1947,0,1947-11-01,-86.8283850275618,32.7888808009156
"120","Alabama",45,1947,0,1947-11-08,-86.8283850275618,32.7888808009156
"121","Alabama",46,1947,0,1947-11-15,-86.8283850275618,32.7888808009156
"122","Alabama",47,1947,1,1947-11-22,-86.8283850275618,32.7888808009156
"123","Alabama",48,1947,0,1947-11-29,-86.8283850275618,32.7888808009156
"124","Alabama",49,1947,9,1947-12-06,-86.8283850275618,32.7888808009156
"125","Alabama",50,1947,0,1947-12-13,-86.8283850275618,32.7888808009156
"126","Alabama",51,1947,0,1947-12-20,-86.8283850275618,32.7888808009156
"127","Alabama",52,1947,0,1947-12-27,-86.8283850275618,32.7888808009156
"128","Alabama",1,1948,0,1948-01-03,-86.8283850275618,32.7888808009156
"129","Alabama",2,1948,1,1948-01-10,-86.8283850275618,32.7888808009156
"130","Alabama",3,1948,0,1948-01-17,-86.8283850275618,32.7888808009156
"131","Alabama",4,1948,3,1948-01-24,-86.8283850275618,32.7888808009156
"132","Alabama",5,1948,0,1948-01-31,-86.8283850275618,32.7888808009156
"133","Alabama",6,1948,0,1948-02-07,-86.8283850275618,32.7888808009156
"134","Alabama",7,1948,0,1948-02-14,-86.8283850275618,32.7888808009156
"135","Alabama",8,1948,2,1948-02-21,-86.8283850275618,32.7888808009156
"136","Alabama",9,1948,3,1948-02-28,-86.8283850275618,32.7888808009156
"137","Alabama",10,1948,1,1948-03-06,-86.8283850275618,32.7888808009156
"138","Alabama",11,1948,2,1948-03-13,-86.8283850275618,32.7888808009156
"139","Alabama",12,1948,1,1948-03-20,-86.8283850275618,32.7888808009156
"140","Alabama",13,1948,2,1948-03-27,-86.8283850275618,32.7888808009156
"141","Alabama",14,1948,0,1948-04-03,-86.8283850275618,32.7888808009156
"142","Alabama",15,1948,0,1948-04-10,-86.8283850275618,32.7888808009156
"143","Alabama",16,1948,0,1948-04-17,-86.8283850275618,32.7888808009156
"144","Alabama",17,1948,3,1948-04-24,-86.8283850275618,32.7888808009156
"145","Alabama",18,1948,1,1948-05-01,-86.8283850275618,32.7888808009156
"146","Alabama",19,1948,3,1948-05-08,-86.8283850275618,32.7888808009156
"147","Alabama",20,1948,0,1948-05-15,-86.8283850275618,32.7888808009156
"148","Alabama",21,1948,1,1948-05-22,-86.8283850275618,32.7888808009156
"149","Alabama",22,1948,0,1948-05-29,-86.8283850275618,32.7888808009156
"150","Alabama",23,1948,1,1948-06-05,-86.8283850275618,32.7888808009156
"151","Alabama",24,1948,0,1948-06-12,-86.8283850275618,32.7888808009156
"152","Alabama",25,1948,3,1948-06-19,-86.8283850275618,32.7888808009156
"153","Alabama",26,1948,5,1948-06-26,-86.8283850275618,32.7888808009156
"154","Alabama",27,1948,3,1948-07-03,-86.8283850275618,32.7888808009156
"155","Alabama",28,1948,3,1948-07-10,-86.8283850275618,32.7888808009156
"156","Alabama",29,1948,NA,1948-07-17,-86.8283850275618,32.7888808009156
"157","Alabama",30,1948,14,1948-07-24,-86.8283850275618,32.7888808009156
"158","Alabama",31,1948,9,1948-07-31,-86.8283850275618,32.7888808009156
"159","Alabama",32,1948,18,1948-08-07,-86.8283850275618,32.7888808009156
"160","Alabama",33,1948,13,1948-08-14,-86.8283850275618,32.7888808009156
"161","Alabama",34,1948,6,1948-08-21,-86.8283850275618,32.7888808009156
"162","Alabama",35,1948,17,1948-08-28,-86.8283850275618,32.7888808009156
"163","Alabama",36,1948,10,1948-09-04,-86.8283850275618,32.7888808009156
"164","Alabama",37,1948,13,1948-09-11,-86.8283850275618,32.7888808009156
"165","Alabama",38,1948,13,1948-09-18,-86.8283850275618,32.7888808009156
"166","Alabama",39,1948,13,1948-09-25,-86.8283850275618,32.7888808009156
"167","Alabama",40,1948,9,1948-10-02,-86.8283850275618,32.7888808009156
"168","Alabama",41,1948,7,1948-10-09,-86.8283850275618,32.7888808009156
"169","Alabama",42,1948,6,1948-10-16,-86.8283850275618,32.7888808009156
"170","Alabama",43,1948,9,1948-10-23,-86.8283850275618,32.7888808009156
"171","Alabama",44,1948,2,1948-10-30,-86.8283850275618,32.7888808009156
"172","Alabama",45,1948,NA,1948-11-06,-86.8283850275618,32.7888808009156
"173","Alabama",29,1946,41,1946-07-20,-86.8283850275618,32.7888808009156
"174","Alabama",30,1946,24,1946-07-27,-86.8283850275618,32.7888808009156
"175","Alabama",31,1946,24,1946-08-03,-86.8283850275618,32.7888808009156
"176","Alabama",49,1948,3,1948-12-04,-86.8283850275618,32.7888808009156
"177","Alabama",50,1948,2,1948-12-11,-86.8283850275618,32.7888808009156
"178","Alabama",51,1948,4,1948-12-18,-86.8283850275618,32.7888808009156
"179","Alabama",52,1948,2,1948-12-25,-86.8283850275618,32.7888808009156
"180","Alabama",1,1949,1,1949-01-01,-86.8283850275618,32.7888808009156
"181","Alabama",2,1949,NA,1949-01-08,-86.8283850275618,32.7888808009156
"182","Alabama",3,1949,4,1949-01-15,-86.8283850275618,32.7888808009156
"183","Alabama",4,1949,2,1949-01-22,-86.8283850275618,32.7888808009156
"184","Alabama",5,1949,2,1949-01-29,-86.8283850275618,32.7888808009156
"185","Alabama",6,1949,1,1949-02-05,-86.8283850275618,32.7888808009156
"186","Alabama",7,1949,NA,1949-02-12,-86.8283850275618,32.7888808009156
"187","Alabama",8,1949,2,1949-02-19,-86.8283850275618,32.7888808009156
"188","Alabama",9,1949,NA,1949-02-26,-86.8283850275618,32.7888808009156
"189","Alabama",10,1949,1,1949-03-05,-86.8283850275618,32.7888808009156
"190","Alabama",11,1949,1,1949-03-12,-86.8283850275618,32.7888808009156
"191","Alabama",12,1949,NA,1949-03-19,-86.8283850275618,32.7888808009156
"192","Alabama",13,1949,NA,1949-03-26,-86.8283850275618,32.7888808009156
"193","Alabama",14,1949,NA,1949-04-02,-86.8283850275618,32.7888808009156
"194","Alabama",15,1949,1,1949-04-09,-86.8283850275618,32.7888808009156
"195","Alabama",16,1949,NA,1949-04-16,-86.8283850275618,32.7888808009156
"196","Alabama",17,1949,2,1949-04-23,-86.8283850275618,32.7888808009156
"197","Alabama",18,1949,NA,1949-04-30,-86.8283850275618,32.7888808009156
"198","Alabama",19,1949,3,1949-05-07,-86.8283850275618,32.7888808009156
"199","Alabama",20,1949,5,1949-05-14,-86.8283850275618,32.7888808009156
"200","Alabama",21,1949,3,1949-05-21,-86.8283850275618,32.7888808009156
"201","Alabama",22,1949,2,1949-05-28,-86.8283850275618,32.7888808009156
"202","Alabama",6,1947,6,1947-02-08,-86.8283850275618,32.7888808009156
"203","Alabama",25,1942,1,1942-06-20,-86.8283850275618,32.7888808009156
"204","Alabama",25,1949,3,1949-06-18,-86.8283850275618,32.7888808009156
"205","Alabama",27,1942,1,1942-07-04,-86.8283850275618,32.7888808009156
"206","Alabama",28,1942,5,1942-07-11,-86.8283850275618,32.7888808009156
"207","Alabama",11,1947,1,1947-03-15,-86.8283850275618,32.7888808009156
"208","Alabama",12,1947,0,1947-03-22,-86.8283850275618,32.7888808009156
"209","Alabama",13,1947,2,1947-03-29,-86.8283850275618,32.7888808009156
"210","Alabama",32,1942,2,1942-08-08,-86.8283850275618,32.7888808009156
"211","Alabama",33,1942,2,1942-08-15,-86.8283850275618,32.7888808009156
"212","Alabama",34,1942,1,1942-08-22,-86.8283850275618,32.7888808009156
"213","Alabama",35,1942,0,1942-08-29,-86.8283850275618,32.7888808009156
"214","Alabama",36,1942,6,1942-09-05,-86.8283850275618,32.7888808009156
"215","Alabama",19,1947,1,1947-05-10,-86.8283850275618,32.7888808009156
"216","Alabama",20,1947,1,1947-05-17,-86.8283850275618,32.7888808009156
"217","Alabama",21,1947,1,1947-05-24,-86.8283850275618,32.7888808009156
"218","Alabama",22,1947,0,1947-05-31,-86.8283850275618,32.7888808009156
"219","Alabama",23,1947,1,1947-06-07,-86.8283850275618,32.7888808009156
"220","Alabama",24,1947,1,1947-06-14,-86.8283850275618,32.7888808009156
"221","Alabama",25,1947,3,1947-06-21,-86.8283850275618,32.7888808009156
"222","Alabama",26,1947,2,1947-06-28,-86.8283850275618,32.7888808009156
"223","Alabama",27,1947,0,1947-07-05,-86.8283850275618,32.7888808009156
"224","Alabama",28,1947,0,1947-07-12,-86.8283850275618,32.7888808009156
"225","Alabama",29,1947,1,1947-07-19,-86.8283850275618,32.7888808009156
"226","Alabama",30,1947,0,1947-07-26,-86.8283850275618,32.7888808009156
"227","Alabama",31,1947,4,1947-08-02,-86.8283850275618,32.7888808009156
"228","Alabama",32,1947,1,1947-08-09,-86.8283850275618,32.7888808009156
"229","Alabama",51,1942,0,1942-12-19,-86.8283850275618,32.7888808009156
"230","Alabama",52,1942,0,1942-12-26,-86.8283850275618,32.7888808009156
"231","Alabama",1,1943,0,1943-01-02,-86.8283850275618,32.7888808009156
